,Unnamed: 0.1,Unnamed: 0,User,Date Created,Number of Likes,Number of Retweets,Number of Replies,Number of Quotes,Number of Views,Tweet,class
0,0,0,BillyDib,2022-12-02 21:52:46+00:00,840,35,26,4,,No one lives a day less or a day more than is ordained for them by the Almighty. I have such a will to survive right now. Allah Hu Akbar,2
1,1,1,dakwah_harian,2022-12-06 18:14:08+00:00,73,19,1,0,,"What a moment for Morocco / Maroko Bono  🇲🇦
Allah Hu Akbar 🤲🏻♥️ https://t.co/hP4tSvAr8d",2
2,2,2,puneet_sahani,2022-12-01 00:21:30+00:00,388,232,7,1,,"The person next to Sant of #HiraMandiWale is Abdullah Bukhari, 12th Shahi Imam of Jama Masjid.
Do you know on Nov 4, 1990, Khalistanis invited him to Bangla Sahib, where he had raised the slogan ""Nara-e-Taqbir! Allah-o-Akbar!""
Most deadly year in which 73% casualities were #Sikh! https://t.co/iGxgYJOF5K",2
3,3,3,LawBeatInd,2022-12-05 11:53:05+00:00,462,176,6,1,,"Delhi Court takes note of Statement of one person according to which accused Liyakat joined mob of muslim persons shouting ""Allah Hoo Akbar &amp; started pelting stones while another mob was raising slogans of ""Jai Shree Ram"". Accused Riyasat fired with pistol #delhiriots2020 https://t.co/ItuMauXQ8g",2
4,4,4,FutbolZEE,2022-12-06 17:49:27+00:00,65,8,1,0,,"THESE PROSTRATIONS &gt;&gt; 🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦

ALLAH-O-AKBAR!",2
5,5,5,Muhd_Shafie02,2022-12-05 22:26:16+00:00,235,60,16,1,,"Is it too late to start learning reciting Quran in Warsh?

This is my Sheikh reciting the Quran when he was young. 

May Allah continue to elevate him dunia wa akhira.

ALLAHU AKBAR. https://t.co/NSUs3bEyFG",2
6,6,6,AbjaFCB,2022-12-06 17:53:55+00:00,111,7,3,2,,"Allahu Akbar. With Allah by your side, everything is possible https://t.co/dVFuMdF6cW",2
13,13,13,fizzafatimapeer,2022-12-06 15:26:27+00:00,54,10,2,0,,"This line of Tasbeh Fatima (s) hits different 💔😭Allah u Akbar, Fatima stood in the wilaya path like a mountain in front of the wind https://t.co/R23izZRVtr",2
15,15,15,TheNoorMahvish,2022-12-06 04:31:22+00:00,67,30,5,1,,"Allah hu Akbar..!
It has been now 30 years of demolition of Babri masjid. But we will keep remembering it, Remembrance is resistance, They way Kar sevaks have demolished Babri &amp; Killed Muslim during riots. It will keep reminding us the bigotry of majority and Gov.
#babrimasjid https://t.co/iBpjcs6iut",2
18,18,18,sioindia,2022-12-03 18:10:19+00:00,332,92,4,3,,"Allahu Akbar
SIO of India's new national leadership for the term 2023-24 has been appointed. May Allah grant steadfastness to all office bearers and help them in their affairs. https://t.co/zKWyeUtrw5",2
20,20,20,Chadyrov11,2022-12-02 11:33:39+00:00,57,7,4,0,,"I do not envy those who on the other side of the line of contact fell under the fire of our courageous and brave soldiers. AHMAT-SILA! ALLAH AKBAR!
@ProjectAkhmat https://t.co/60UZyNdZXs",2
