,Unnamed: 0.1,Unnamed: 0,User,Date Created,Number of Likes,Number of Retweets,Number of Replies,Number of Quotes,Number of Views,Tweet,class
0,0,0,iKarachiwala,2022-07-23 17:07:34+00:00,1655,1069,118,93,,Allah O Akbar! Kindly find him as early as possible and share his contact please. https://t.co/cfL9HM9i3s,2
1,1,1,slimxtonio,2022-07-29 19:04:45+00:00,535,79,27,24,,COMMITTED! #AllahAkbar https://t.co/RtlBhldhFl,2
2,2,2,islamicfreedom,2022-07-22 14:02:31+00:00,1222,197,5,1,,Allahu Akbar. Allah is the Greatest and Greatness belongs to Him.,2
3,3,3,Its_Damira01,2022-07-24 07:23:06+00:00,65,4,17,0,,Allah O Akbar! Every Praises For All Mighty ALLAH.✨🤲 https://t.co/BxAJLn4Ol6,2
4,4,4,Alhamdhulillaah,2022-07-31 10:25:05+00:00,1700,340,4,2,,"The dearest phrases to Allah are four: SubhanAllah, Alhamdulillah, La ilaha illAllah, Allahu Akbar. There is no harm for you in which of them begin with (while remembering Allah).

[Muslim]",2
5,5,5,PenAbdull,2022-07-22 11:26:31+00:00,1328,501,67,49,,"I don’t know who the reciter is, but by Allah, his recitation is humbling  and calms the nerve. Qur’aan is just simply amazing and unequaled. Allahu Akbar https://t.co/UiYjev5LdE",2
6,6,6,Goddy_KA,2022-07-28 14:25:10+00:00,62,9,9,1,,"Allah Akbar,‼️‼️
Just go my first Volvo bicycle at age 36 🙏🙏✅

Otumfuo // Sammy Gyamfi // Tiwa Savage // Big Ivy https://t.co/Vq1TclEbjR",2
7,7,7,Muavviyath,2022-07-30 07:29:43+00:00,63,1,2,0,,"This is how I want to end my day, everyday. Allah Akbar! https://t.co/Qs6JS3hAOc",2
9,9,9,Hannatu_ms,2022-07-29 04:52:33+00:00,283,29,75,5,,"Allahu Akbar
Today mark's exactly 5 year's without you baba💔
Ya Allah grant him jannatul firdaus Amin 🙏.",2
11,11,11,qatarisnft,2022-07-25 14:28:34+00:00,343,225,205,6,,"Allahu Akbar!! We will be launching at 1 pm UTC on the 27th. We want to thank you all for the love and support. Insha Allah we will send at least 2 of our family to the World Cup in Qatar this year.🇶🇦 

Any interaction on this tweet will be considered for Sheikh List🎉 

#MAXOIL https://t.co/AJwlvD1LHw",2
14,14,14,Qasim_a10,2022-07-22 17:18:32+00:00,81,3,3,1,,Allahu Akbar Someone took their shahadah with me today😭May Allah bless the brother and allow him to stay steadfast on the deen,2
21,21,21,OfficialShiva29,2022-07-22 01:08:13+00:00,199,198,0,1,,"Today's- #fridaymorning
Kabir is Supreme GOD, Almighty God Allah Hu Akbar and  Samrath means all' capable
In Veds His name (Yuva Kavir)
Supreme Sant Rampal Ji Maharaj.
#GodMorningFriday  🌷🌿🌱 https://t.co/Ed2dDh4Fyw",2
