,Unnamed: 0.1,Unnamed: 0,User,Date Created,Number of Likes,Number of Retweets,Number of Replies,Number of Quotes,Number of Views,Tweet,class
0,0,0,MallamRetweeet,2023-03-19 22:52:43+00:00,1613,264,133,12,40973.0,If you believe Allah is great type Allahu Akbar 🙏🏻❤️ https://t.co/nJxEXkCWxN,2
1,1,1,SadamAnwar11,2023-03-21 20:19:51+00:00,894,139,22,9,151993.0,"Doctors performing surgery in 7.7 magnitude Earthquake with “ La ilaha Ila Allah “ on tongues . Allah o Akbar ❤️ 
They won’t leave the patient like this 
#earthquakeinpakistan 
#زلزله 
#Earthquake 
#7.7 https://t.co/6B5rwem6wT",2
2,2,2,A6da11ah_M5,2023-03-19 20:24:10+00:00,169,72,2,4,10470.0,"Kwankwaso is officially the greatest politician in modern Kano state. 

He has led the people of Kano state and made sure they fought to the end and  with the Help of Allah win. 

Allah Akbar!!! https://t.co/rj3R3CCOxe",2
3,3,3,Ahmeds4ys,2023-03-20 13:01:44+00:00,612,171,13,7,12988.0,"Allah u Akbar. Atheists would read kalma after watching this.
https://t.co/orZf7uG0hb",2
4,4,4,OfficialDattijo,2023-03-19 19:52:16+00:00,259,103,20,5,9054.0,"If you are happy for seeing this beautiful name of Allah! Retweet and type ""Allahu Akbar""❤

-IMR🔰 https://t.co/91eIriRhk3",2
5,5,5,Jhanzaib_S,2023-03-18 16:59:34+00:00,604,221,7,8,13082.0,"They made this for wrong Army, now the right Army has taken the ownership of this song. Listen to the echoes of Allah o Akbar outside Zaman park where ppl are waiting for khan. 💪🏽🫶🏾

Soon we will be free from the shackles of the rotten system and it’s beneficiaries. انشااللہ https://t.co/dECBniXLof",2
6,6,6,Scrivenshaft_,2023-03-18 08:13:20+00:00,148,68,0,0,2716.0,Imran khan ko dushman bhi miley tou kam zarf. They attack at night or when you’re away. They attack women and children. They do everything that’s unislamic and chant ‘allah o akbar’ while they do it. Worse than firoun.,2
7,7,7,muslimdaily_,2023-03-20 22:01:30+00:00,3636,669,67,41,128802.0,"Allahu Akbar ☝️ Our brother Bobby from ""Bobby's perspective"" Youtube channel who has been making reaction videos to Islamic content has alhamdulillah taken his shahada with Shaykh Uthman and become a Muslim. May Allah bless him and guide him, Ameen, https://t.co/R0Itzuzs3v",2
8,8,8,wjhmid,2023-03-21 17:08:07+00:00,58,1,2,0,1599.0,"Translation of this Surah is just 💔
Allah O Akbar https://t.co/xlY2emRQl0",2
9,9,9,Borz4562,2023-03-20 20:54:51+00:00,2408,257,37,10,70296.0,"Alhamdulillah! Allahu akbar!
Brazilian mma fighter Dhouglas Puma - who currently resides in Kazakhstan and trains at the same gym as Shavkat Rakhmonov (Dar team) - accepts Islam. Alhamdulillah!

May Allah keep him firm and steadfast upon the deen, ameen https://t.co/qdLFEewitm",2
10,10,10,BinT_E_HawA____,2023-03-16 03:39:09+00:00,366,132,16,0,8594.0,"My Hijab is my dignity, my respect, and my honor, and I will never trade it for this temporary world.” “Hijab is not about oppression but freedom from evil eyes.” “All Praises be to ALLAH who guided me to wear Hijab.”

  Allah Hu Akbar_!
   #Hijab https://t.co/KvrL947iK4",2
11,11,11,OfficialDattijo,2023-03-21 20:15:36+00:00,151,69,17,2,3971.0,"If you truly testify that there is no true God except Allah! Retweet and type Allahu Akbar ❤

-IMR🔰 https://t.co/629xOQpogm",2
13,13,13,AbdullahBabarPK,2023-03-18 17:26:07+00:00,113,22,0,1,1218.0,"Allah o Akbar!

Unbelievable passion and resilience. This is outside Zaman Park rn. https://t.co/9FbxGgl79W",2
16,16,16,MubiruSalim5,2023-03-15 16:57:51+00:00,53,1,1,0,850.0,Allah- Akbar  it's a process #MS10 https://t.co/Krc1hAp4cQ,2
18,18,18,SouleFacts,2023-03-17 18:30:46+00:00,62,33,4,2,3449.0,"Waah! Kya baat…….Rahul Gandhi attending marriage reception of Swara Bhaskar and Farhad Ahmed…….and Akhilesh Yadav enjoying Allah Hu Akbar in her reception…….not sure which meat both enjoyed to satisfy host.😄
I am waiting to watch Rahul Gandhi’s marriage reception. https://t.co/tb4aNhxMAh",2
23,23,23,mishikhan_pti,2023-03-16 04:12:08+00:00,50,9,1,1,933.0,"I will never ever forget this.
Ya Allah Thank you so much, Shukar Alhumdulillah. Look this is how Allah is protecting him, Allah AlHaq hy, Jo insan haq ky rasty pr hota hy usky sath Allah ki special madad hoti hy.
SubhanAllah, Allah Ho Akbar, Ma Sha Allah.
My brave Kaptaan ❤️ https://t.co/4KuMydAgsK",2
31,31,31,P_K_Srivastava,2023-03-18 19:02:22+00:00,390,65,1,1,6586.0,"Such a sweet voice... Masa Allah. 

It came from his ruh.

Allah Hu Akbar...  

(God is great.)",2
35,35,35,FVNNVH,2023-03-16 20:23:28+00:00,88,9,2,0,4911.0,"My Qur’an teacher recently received a certificate on a new qira’at she memorized from Madinah’s qirat, Ibrahim Al-Akdar. She is also around 60 years old, Allahu Akbar. Something about your teaching still learning gives you so much more motivation.  May Allah bless her immensely🤍",2
38,38,38,NigerianSunni,2023-03-21 07:20:21+00:00,311,94,8,5,14506.0,"Allahu Akbar!!! 🥺✨💜❤️💖💎🔥✨
Sheikh Hussary giving all letters its accurate pronunciation with eloquent recitation. May Allah grant him the highest rank in Jannah. Ameen 🤲✨ https://t.co/346GBLcylH",2
40,40,40,tehseenp,2023-03-17 03:47:00+00:00,94,9,17,3,7815.0,"@Medusaflower There is no reason to say why is Jai Shri Ram compared to that terrible slogan!
How would everyone react if someone was to say Allah Hu Akbar is a ""war cry""!  And Jai Shri Ram is the culture of India",2
42,42,42,Aisha09877,2023-03-18 17:51:42+00:00,104,47,1,0,8142.0,"📍Scenes outside Zaman Park
ALLAH O AKBAR❤️
Waiting desperately for our leader ⁦@ImranKhanPTI⁩ 🫶🏻👑
⁦#ImranKhanRally⁩ 
⁦#imrankhanPTI
⁦#ZamanPark_under_attack⁩
⁧#عمران_خان_کی_جان_کو_خطرہ⁩ 
 ⁧#عمران_خان_ہماری_ریڈ_لائن
#زمان_پارک https://t.co/DZs6jxasrk",2
45,45,45,tehseenp,2023-03-17 13:36:07+00:00,529,62,102,4,28848.0,"Dear @RaysTweetsss ,
You do hv the right to insult me, I don't feel bad!
If I accept your logic - is Allah Hu Akbar a war or terror slogan? 
Yes BJP does use ""Jai Shri Ram"" but does Shri Ram belong to them?
No! We need to reclaim OUR RAM who belongs to us all!
Jai Siya Ram ❤🤗",2
63,63,63,shezanmango,2023-03-16 23:31:40+00:00,157,12,3,15,37186.0,"There is no evidence that Imam Ali, Hassan and Hussain instructed Muslims or Ahle Bayt to curse and abuse Umar and Akbar. Not a single authentic tradition for Tabarri. Goes against the teachings, honour and status of Imam Ali. 

Allah Hafiz!",2
90,90,90,gtdawahcenter,2023-03-20 22:22:55+00:00,127,42,5,4,14700.0,"Another 5 people today. Allahu Akbar 

That makes it 11 so far. @GtownMasjid 

This is remarkable. Allah makes manifest His signs, but only the arrogant reject them. 

May Allah bless them all and make them firm righteous believers.",2
94,94,0,la_Blacks,2023-03-21 22:58:14+00:00,1086,191,1,12,18346.0,"because, Evan         honestly, Eddie https://t.co/zeU3OZxUBR",2
95,95,1,la_Blacks,2023-03-21 21:43:26+00:00,99,6,0,0,1637.0,"""You want gay? We can give you gay. Let's do gay!!!"" https://t.co/UeKbB12NZm",0
96,96,2,la_Blacks,2023-03-21 22:00:48+00:00,81,4,0,0,1547.0,this is me trying to hack your phone https://t.co/a91VAxeGR9,2
97,97,3,skull_measurer,2023-03-21 22:10:15+00:00,4365,660,574,535,945730.0,"You guys think ""washing they chicken"" is bad wait till you go down the rabbit hole of blacks eating corn starch.

There's an entire cottage industry on Etsy dedicated to selling ""dat skrong"" and ""chunky"" in every flavor you could imagine https://t.co/3GKrgkVqce",2
99,99,5,Nature_and_Race,2023-03-21 21:14:30+00:00,2004,170,191,7,125010.0,"Do they not understand that all of those chemicals in the soap are soaked up by the food they put it on?

Those chemicals don't just stay on the outside and rise right off. They get INSIDE the food.

Whatever... If blacks like eating chemicals, that's their business, not mine.",2
100,100,6,t0bifc,2023-03-21 23:17:24+00:00,102,16,9,2,6933.0,odumodu blacks music has a way of growing on u sha,2
101,101,7,adamfrancisco_,2023-03-21 22:55:44+00:00,247,83,35,11,23823.0,Blacks for Trump showing support at Mar a Lago #TrumpArrest #BlacksForTrump https://t.co/fog1Ms1f8p,2
103,103,9,elainelancaster,2023-03-21 23:38:05+00:00,3070,170,140,14,110590.0,@realstewpeters Blacks are 12.5% of the nations population and responsible for 85%+ violent crimes… but Don’t notice the OBVIOUS 🤮,2
104,104,10,0x49fa98,2023-03-21 21:57:35+00:00,1875,71,120,9,228544.0,"I just can't bring myself to believe that blacks really wash their chicken this way. This is some kind of viral joke they are having on the rest of us, right? Like that girl who made an ice cream sundae in a toilet. It's just for clicks.",2
106,106,12,Irish___Rose,2023-03-21 23:19:45+00:00,285,25,18,1,6606.0,Zimbabwe kicked out the white farmers so the blacks could farm the land- how did that work out? 😂😂,2
108,108,14,ConceptualJames,2023-03-21 23:46:09+00:00,225,58,11,3,22823.0,Professor at University of Illinois at Chicago admitting it's because of teaching and pushing Critical Consciousness that blacks are increasingly learning helplessness. https://t.co/iDHpLzV1Kv,2
110,110,16,AnimeBibleVerse,2023-03-21 23:49:50+00:00,73,5,5,1,3224.0,Guys what if this is the real reason why blacks have higher cancer rates https://t.co/UsA1yZGmZj,2
111,111,17,SwannMarcus89,2023-03-21 21:20:23+00:00,100,4,2,0,1322.0,"And do you have any idea how fucked poor southern whites were because they couldn't compete with slave labor?  

The whole system was practically a feudal aristocracy that brutalized enslaved blacks and simultaneously forced poor whites into unnecessary poverty",0
113,113,19,bmoreDee,2023-03-21 21:54:39+00:00,87,3,81,1,9280.0,@realstewpeters How long has it been not safe for blacks to do literally ANYTHING?…I’ll wait…🫵🏽,2
