,Unnamed: 0.1,Unnamed: 0,User,Date Created,Number of Likes,Number of Retweets,Number of Replies,Number of Quotes,Number of Views,Tweet,Level of Engagement,class
0,3248,3248,crackcobain__,2023-03-30 17:13:31+00:00,227803,17640,1373,694,13352646.0,Is this not sexual harassment ?,247510,2
1,990,990,OkayDareMe,2023-03-27 02:46:59+00:00,185359,14401,560,270,7279095.0,I went to high school with her and I always admired how she could two piece any nigga. She’s never tolerated disrespect and I will remember that for the rest of my life.,200590,2
2,11716,11716,syraikailan,2023-03-26 15:08:27+00:00,145946,21751,741,2111,19634404.0,omg y’all this girl bsf went on a date with some guy and she went missing but she ended up being in detroit near a trailer park and trucks to all the way on a boat to africa 😢 https://t.co/nZlTVldKek,170549,2
3,11497,11497,upblissed,2023-03-28 03:01:48+00:00,156961,10529,992,525,9946845.0,this shit look like its gon call me a nigger,169007,1
4,1224,1224,upblissed,2023-03-28 03:01:48+00:00,156956,10528,993,525,9946112.0,this shit look like its gon call me a nigger,169002,1
5,5481,5481,upblissed,2023-03-28 03:01:48+00:00,156956,10528,993,525,9946218.0,this shit look like its gon call me a nigger,169002,1
6,322,322,upblissed,2023-03-28 03:01:48+00:00,156956,10528,993,525,9946101.0,this shit look like its gon call me a nigger,169002,1
7,9177,9177,Homostokesual,2023-03-31 02:27:07+00:00,125238,6845,109,82,3788974.0,Could you imagine watching this irl like why is this nigga 6ft off the ground 😭,132274,0
8,3843,3843,fauxfresh,2023-03-24 23:17:51+00:00,99253,11505,211,185,7343097.0,"A black main character turning into his ancestors … 

Ima summon Harriet and start giving niggas hell fr",111154,0
9,1049,1049,upblissed,2023-03-27 19:45:09+00:00,95700,6483,373,111,10947900.0,why tf Chris McLean sound like that??? this aint the evil ass nigga i grew up with,102667,0
10,9297,9297,upblissed,2023-03-27 19:45:09+00:00,95699,6482,373,111,10947743.0,why tf Chris McLean sound like that??? this aint the evil ass nigga i grew up with,102665,0
11,3512,3512,RayyvanaTTV,2023-03-31 06:53:36+00:00,91840,8235,96,39,2811472.0,This happened at a college and the “girl” getting straddled is a fucking adult woman,100210,1
12,3273,3273,crackcobain__,2023-03-31 04:22:49+00:00,88002,8095,669,1828,7600342.0,Damn flexing in a nigga you killed blood in a pic then getting killed a couple hours later is nuts,98594,0
13,3251,3251,crackcobain__,2023-03-31 15:58:12+00:00,88592,8908,173,209,4861371.0,How do you get fired from INDEED 😭,97882,2
14,4869,4869,DAQUANDSG,2023-03-28 14:47:25+00:00,76526,17845,852,1286,7345590.0,"A lot of you niggas hygiene is atrocious. Y’all be too caught up in thinking shit is gay or thinking being a man is being dirty. Get a manicure, pedicure, have a skin care routine, use sugar scrubs, shave your pubes, moisturize. Stop using “I’m a man” as an excuse",96509,1
15,5317,5317,DAQUANDSG,2023-03-28 14:47:25+00:00,76519,17844,852,1285,7343425.0,"A lot of you niggas hygiene is atrocious. Y’all be too caught up in thinking shit is gay or thinking being a man is being dirty. Get a manicure, pedicure, have a skin care routine, use sugar scrubs, shave your pubes, moisturize. Stop using “I’m a man” as an excuse",96500,1
16,921,921,vidsthatgohard,2023-03-30 02:58:53+00:00,82527,7839,443,726,4343872.0,Nigga beefing with Megatron https://t.co/1H8NELZlWH,91535,0
17,621,621,Muffin_Chips,2023-03-24 13:11:21+00:00,74661,15724,150,220,4762066.0,"Michael Phelps had a wingspan longer than his height, a hyper-jointed chest,  double-jointed ankles, and lung capacity twice that of the average person. Caster Semenya was born with 5αR2D. Michael Phelps is a white man. Caster Semenya is a black woman.",90755,0
18,1717,1717,Muffin_Chips,2023-03-24 13:11:21+00:00,74661,15724,150,220,4762092.0,"Michael Phelps had a wingspan longer than his height, a hyper-jointed chest,  double-jointed ankles, and lung capacity twice that of the average person. Caster Semenya was born with 5αR2D. Michael Phelps is a white man. Caster Semenya is a black woman.",90755,0
19,2549,2549,upblissed,2023-03-28 20:27:46+00:00,83871,3138,307,253,8096796.0,get the fuck outta here man.. all that bullshit,87569,1
20,6205,6205,SaycheeseDGTL,2023-03-27 16:30:32+00:00,76729,5593,2160,1624,16745661.0,"23 year old Canadian ‘crypto king’ was tortured &amp; abducted after trying to finesse his investors out of $29M before blowing $12M on fleet of supercars, luxury vacations and a private jet  “He was held for 3 days, they drove him around &amp; beat him” https://t.co/vuAbbNYD8s",86106,2
21,603,603,CNN,2023-03-26 12:00:01+00:00,10624,2698,51438,17081,33376684.0,"""If you're White and you've posted a GIF or meme of a Black person to express a strong emotion, you may be guilty of wearing 'digital blackface,'"" writes John Blake | Analysis https://t.co/KlHkWWHq6x",81841,2
22,3242,3242,btb_savage,2023-03-30 21:04:03+00:00,59548,5913,3022,12260,57498756.0,TOO MUCH MOTION🐺🐺 https://t.co/yom8OcpYUj,80743,2
23,6191,6191,thebiggestyee,2023-03-31 17:29:45+00:00,75839,3161,303,179,3755570.0,not to be midwestern but my dad would’ve beat the shit out of him,79482,1
24,3828,3828,upblissed,2023-03-31 09:56:26+00:00,72426,3860,427,211,11047564.0,damn bro posted this and they got his ass gone an hour later. nigga aint even have enough time to change his outfit,76924,1
