,Unnamed: 0.1,Unnamed: 0,User,Date Created,Number of Likes,Number of Retweets,Number of Replies,Number of Quotes,Number of Views,Tweet,class
0,0,0,FGRAdam,2022-09-11 03:57:40+00:00,36845,4460,211,400,,"Khamzat: “I kill everyone, Allah Akbar” 

Fans in the stadium:

#UFC279 https://t.co/lxZiksYtIj",2
1,1,1,dboyfaid,2022-09-11 04:07:11+00:00,470,43,9,3,,"khamzat chimaev: I kill everyone Allah hu akbar 
extremist: https://t.co/w8lGfoE406",2
2,2,2,nevusflammeus11,2022-09-11 08:17:43+00:00,333,79,26,17,,"Khazmat ""I'll kill everybody, Allah Hu Akbar"" on the anniversary of 9/11.. What an absolute monster 🔥
#UFC279 https://t.co/7uam7WJzTi",2
3,3,3,MaryamNamazie,2022-09-11 10:43:30+00:00,1068,398,137,140,,"When speaking for Zahra &amp; Elham facing execution for their #LGBT activism, a group started shouting Allah o Akbar because they were offended by #AllahIsAWoman. Not offended by 2 women being executed in Iran but by a sign. #savezahrasedighihamedani #saveelham #loveisnotacrime https://t.co/8k0AmWesbr",2
5,5,5,TheUFCStats,2022-09-11 04:00:49+00:00,182,17,2,2,,"Khamzat Chimaev: ""I kill everybody.  Allah Akbar.  Whhhhooooo!!!""

Joe Rogan:
#UFC279 https://t.co/BwGI1gAWBR",2
6,6,6,bonzer__,2022-09-14 15:24:40+00:00,219,42,2,0,,"the life of the world is a deception .
There is a straight path in front of us, We have a sinful path before us Now it's our choice, which way do we go back? In front of Allah 
( Allah Akbar ) https://t.co/dfjvHfHtDZ",2
7,7,7,Oumardinho,2022-09-11 03:55:59+00:00,78,11,3,1,,i kill everybody Allah u akbar 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,2
10,10,10,islamicfreedom,2022-09-13 14:02:07+00:00,221,77,0,0,,"Make sure you say:

Subhaan'Allah.
Alhamdulillah.
Allahu Akbar.

RETWEET! It will help you ONE DAY.",2
13,13,13,AmbAbubakarAden,2022-09-10 12:12:39+00:00,331,21,19,1,,"This is Garissa Governor H.E @Nathif_J_Adam . Allahu Akbar , May Allah bless and protect you . https://t.co/GounvCTjqz",2
15,15,15,PanditBedo,2022-09-11 02:19:24+00:00,169,164,0,1,,"#UntoldTruthOfJesus

Abrahamic religions have 4 important books. Bible was given to Jesus who was a holy spirit. Supreme God allah hu akbar himself comes to deliver his information. Father of all is lord Kabir. https://t.co/h1U26vL75W",2
16,16,16,MyAbdool,2022-09-09 23:02:39+00:00,379,174,3,0,,"There’s an adhkar when going to bed.

• Subhanallah
- 33 X

• Alhamdulillah
- 33 X

• Allahu Akbar
- 34 X

(Sahihayn)

Always wet your tongue with the remembrance of Allah before you sleep.",2
29,29,29,wfcollins,2022-09-12 02:48:21+00:00,94,1,1,0,,"@OxfordJo70 @libsoftiktok @RepJayapal This is just a rumor, but I heard she was saying ""Allah Akbar"" during that part.",2
30,30,30,NasimZehra,2022-09-08 14:06:50+00:00,78,2,6,0,,Moonlight walk after the day is done…. Allah o Akbar….#ExitingSwat https://t.co/wH28uWDQON,2
