,Month,Total Hate Speech Tweets,Proportion of Hate Speech Tweets,Weekly Average of Hate Speech Tweets,Average Likes on Hate Speech,Average Retweets on Hate Speech,Average Replies on Hate Speech,Average Quotes on Hate Speech
0,June,1433,0.2734732824427481,0.2732259539491685,493.43893928820654,64.97557571528263,15.441730635031403,7.395673412421494
0,July,1361,0.2597824012216072,0.2596530588033319,598.3732549595885,79.62454077883909,14.837619397501836,14.313005143277001
0,August,1475,0.26069282431954754,0.26071856955234485,596.3261016949152,72.90169491525424,13.547796610169492,12.912542372881356
0,September,1440,0.2718006795016987,0.27214665015315836,897.4652777777778,97.04861111111111,18.434722222222224,13.277777777777779
0,October,1523,0.2732328668819519,0.273188199909987,1302.242284963887,115.44123440577808,19.962573867367038,16.38345370978332
0,November,1446,0.2786127167630058,0.27823239797994714,1344.3271092669434,164.02143845089904,41.93568464730291,23.98409405255878
0,December,1324,0.24854514736249297,0.24863273774755246,649.6956193353475,77.85347432024169,21.921450151057403,10.740181268882175
0,January,1439,0.2536129714487134,0.2530784004596368,1184.195274496178,99.00625434329396,26.551077136900627,14.129256428075053
0,February,1699,0.27271268057784914,0.27252706243899016,856.672160094173,116.08769864626251,32.88993525603296,17.363154796939376
0,March,1688,0.25475399939631754,0.25503431721118075,2410.313981042654,317.29383886255926,55.23341232227488,32.843601895734594
